TimeStamp [µs],47 (ID=0) [pV],48 (ID=1) [pV],46 (ID=2) [pV],45 (ID=3) [pV],38 (ID=4) [pV],37 (ID=5) [pV],28 (ID=6) [pV],36 (ID=7) [pV],27 (ID=8) [pV],17 (ID=9) [pV],26 (ID=10) [pV],16 (ID=11) [pV],35 (ID=12) [pV],25 (ID=13) [pV],Ref (ID=14) [pV],14 (ID=15) [pV],24 (ID=16) [pV],34 (ID=17) [pV],13 (ID=18) [pV],23 (ID=19) [pV],12 (ID=20) [pV],22 (ID=21) [pV],33 (ID=22) [pV],21 (ID=23) [pV],32 (ID=24) [pV],31 (ID=25) [pV],44 (ID=26) [pV],43 (ID=27) [pV],41 (ID=28) [pV],42 (ID=29) [pV],52 (ID=30) [pV],51 (ID=31) [pV],53 (ID=32) [pV],54 (ID=33) [pV],61 (ID=34) [pV],62 (ID=35) [pV],71 (ID=36) [pV],63 (ID=37) [pV],72 (ID=38) [pV],82 (ID=39) [pV],73 (ID=40) [pV],83 (ID=41) [pV],64 (ID=42) [pV],74 (ID=43) [pV],84 (ID=44) [pV],85 (ID=45) [pV],75 (ID=46) [pV],65 (ID=47) [pV],86 (ID=48) [pV],76 (ID=49) [pV],87 (ID=50) [pV],77 (ID=51) [pV],66 (ID=52) [pV],78 (ID=53) [pV],67 (ID=54) [pV],68 (ID=55) [pV],55 (ID=56) [pV],56 (ID=57) [pV],58 (ID=58) [pV],57 (ID=59) [pV]
1000,3695510,3516695,3337880,9119565,3755115,3516695,5960500,6198920,2503410,5424055,5781685,1430520,3516695,5006820,-1668940,1847755,4589585,2980250,1728545,3933930,4768400,1192100,4351165,4291560,1370915,-2145780,3755115,715260,3337880,2205385,5602870,3039855,6556550,3874325,4351165,4112745,3278275,1668940,3159065,1549730,4231955,1609335,4410770,3874325,4828005,4649190,5066425,3993535,6556550,3755115,3337880,5960500,4708795,1609335,1490125,715260,4410770,5722080,4768400,1847755
1100,3933930,-834470,-59605,2861040,2682225,357630,4112745,-2026570,-1668940,1490125,1490125,-1430520,655655,596050,596050,476840,953680,-2384200,953680,2145780,3099460,-59605,3337880,2563015,4112745,-3457090,1192100,0,2026570,1847755,715260,2086175,1907360,178815,655655,1668940,-1609335,3337880,3695510,1668940,2861040,1549730,3814720,834470,1847755,2443805,1192100,1907360,-357630,2205385,1609335,-1430520,-1430520,1013285,59605,1549730,-178815,953680,-178815,-894075
1200,4410770,-178815,3516695,1072890,3874325,6258525,8821540,-6556550,4351165,6437340,2086175,3039855,5006820,5662475,894075,4649190,3874325,3159065,2741830,3814720,1728545,3457090,5662475,2980250,3576300,-7033390,4410770,4351165,4589585,3814720,4708795,5006820,6020105,5781685,2563015,3039855,4708795,5424055,4351165,3397485,5245240,3814720,3814720,1728545,4053140,3516695,4053140,3218670,2324595,4768400,6318130,3099460,3397485,6139315,3039855,3457090,2682225,2861040,4410770,774865
1300,2741830,-298025,1072890,4708795,1072890,3993535,1788150,-8583120,1668940,3099460,2801435,1907360,3218670,834470,-178815,2443805,596050,715260,2324595,1907360,2145780,536445,1490125,1668940,2145780,-12993890,2086175,2145780,2920645,-894075,2503410,119210,3159065,1072890,-715260,2622620,596050,4112745,2026570,1370915,2741830,2264990,2145780,1192100,2384200,1370915,2324595,1132495,715260,3576300,2980250,715260,1311310,1490125,-476840,-178815,2264990,298025,2503410,953680
1400,-1251705,715260,-2026570,2741830,298025,-1728545,-178815,-10728900,0,1668940,-2205385,-2086175,536445,655655,357630,-1788150,-3159065,-1072890,-1013285,-1192100,-834470,-2086175,-3993535,-4708795,476840,-15020460,1192100,357630,238420,-2205385,-1549730,-476840,1072890,-178815,894075,1430520,-1192100,1668940,-238420,953680,-2682225,-178815,-119210,596050,357630,-2861040,-238420,-834470,-1907360,894075,-1370915,-1072890,-298025,-1370915,-1847755,-1192100,-1490125,-1132495,-1668940,238420
1500,-417235,1311310,1609335,-1788150,774865,1490125,0,-4410770,1251705,1728545,-2503410,-1609335,238420,-1251705,596050,-655655,-1788150,1192100,-1668940,-1609335,1966965,2324595,-2205385,655655,1609335,-6675760,2264990,1132495,476840,834470,0,2086175,4649190,2086175,2443805,1192100,476840,3576300,596050,2563015,-2026570,-596050,-536445,894075,-953680,834470,536445,357630,655655,-536445,-1847755,-1430520,-1549730,-1549730,0,-774865,834470,2980250,476840,-1430520
1600,-2205385,-119210,-953680,-1549730,-476840,655655,1370915,2145780,298025,-655655,-2920645,178815,536445,-1847755,417235,774865,-894075,1072890,0,-1668940,-119210,-1609335,2324595,-2026570,2026570,-8940750,1907360,4351165,-476840,-476840,-1311310,-1549730,-298025,238420,178815,1668940,-1847755,2741830,1072890,1192100,-655655,-1072890,-2264990,-1966965,1728545,-1370915,-417235,-3337880,-1311310,-715260,-1192100,-1549730,834470,-357630,-1251705,-596050,-2861040,-1430520,0,-1013285
1700,894075,-1072890,-1609335,2145780,1728545,1668940,834470,-4112745,4887610,178815,-1192100,-1490125,-1013285,476840,417235,1728545,59605,476840,-715260,715260,715260,596050,2503410,-298025,3695510,-5662475,2264990,2741830,-536445,-1072890,2026570,-2086175,1192100,2801435,2622620,-119210,-119210,4529980,-1013285,2324595,2324595,417235,1609335,4529980,2145780,2264990,298025,655655,1132495,-238420,1847755,-655655,-59605,1788150,834470,-536445,-357630,-238420,953680,3576300
1800,-2086175,-4351165,-5245240,-5364450,-3039855,-536445,-2622620,-16749005,953680,-2801435,-3039855,-3933930,-774865,-1132495,417235,-774865,-1013285,-1728545,-5543265,-4828005,-1251705,-2145780,-2801435,1072890,-178815,-8940750,-1251705,-536445,-2741830,-3457090,-2801435,-4768400,-298025,-2324595,-953680,-4887610,-1847755,-1370915,-3337880,-3755115,-1549730,-3159065,-3933930,-596050,-1013285,-1788150,-3933930,-3159065,-1490125,-1430520,-1132495,-417235,-2086175,-3814720,-1788150,-2741830,119210,-1728545,-3039855,536445
1900,-298025,-3397485,-2205385,7569835,-3695510,-1549730,-3278275,-9954035,774865,-1013285,-2861040,-2622620,0,-1728545,-2086175,1072890,59605,3278275,-2324595,-357630,-417235,-715260,-834470,596050,-2980250,-7331415,-357630,-715260,-3933930,-1668940,-953680,-536445,-417235,-4053140,-953680,-536445,-1132495,-953680,-834470,-1668940,-3814720,-357630,-1609335,-1549730,-2205385,-1132495,-3397485,-4231955,-1966965,-3635905,-2801435,-1966965,-1907360,-3218670,-655655,-3993535,-298025,-2145780,-59605,-298025
